Donnée;Sync VDM;Label VDM;tagname VDM;Commentaire VDM;exemple de format;"exemple ""vide""";remarque coté UNITY;Utilisé par VDM/DMS o/n?;commentaire JULIA;Colonne1
miloCode;OUI;MILO;customerId;;"""miloCode"": ""028421""";Toujours définie;-;OUI;;
catalog;OUI;Catalog;catalog;La donnée n'était pas affichée sur la page Title. Elle est maintenant en bas de la section Summary;"""catalog"": ""Studiocanal Germany""";"""catalog"": ""Non défini""";"gestion de la donnée ""vide"" : peut on ne pas renvoyer la donnée catalogue quand ""catalog"": ""Non défini"" ?";OUI;sans règle de gestion;"renommé en ""entitesource"" ""source entity"" >> sylvie indique que c'est une donnée purement interne de michel pour indiquer qui lui a fait la demande, pas utile de l'utiliser.  >> pourrait s'apparenter (ce que nous voulons) à la notion ""library"" de la partie Legal unity."
owner;OUI;Appartenance;appartenance;;"""owner"": ""StudioCanal""";Toujours définie;"donnée doubon avec ""membership"". Peut-on supprimer une des 2 ?";OUI;sans règle de gestion côté VDM / règle côté UNITY pour n'envoyer que ce qui n'est pas concurrence.;correspond à la donnée appartenance. Il y a un filtre pour ne pas envoyer les données de la concurrence
isancode;OUI;ISAN ID;isanId;;"""isanCode"": ""00000005BB11""";null;-;OUI;sans règle de gestion >> vérifier avec VDM si on rajoute en 30 caractère, ce qui se passe.;30 caractères normalement mais uniquement partiel.
originLanguage;OUI;Title Lang;languageTitle;Donnée obligatoire pour les qualifications et commandes;"""originLanguage"": ""USA""";"""originLanguage"": ""Non défini""";"+ attention 5 isoCode != (CSK, CUB, EGY, IRA, GIN).
 + Attention changement de plusieurs isoCode à venir !";OUI;avec règle pour la qualification + une règle de split des valeurs main et secondary.;
originCountry;OUI;Title Nationalities;nationalities;Mapping dynamique côté front pour le USA ou U.S.A en WW;"""originCountry"": ""USA""";Toujours définie;-;OUI;à vérifier pour DMS;dans UNITY il s'agit de ProductionCountry maintenant. Donnée construite sur le territoire de la version principale du titre de l'œuvre.
kind;OUI;Genre keywords;titleGenres;"Import sur ""en"" ";"""kind"": {
      ""fr"": ""Comédie,Guerre"",
      ""en"": ""Comedy,War""
    }";"""kind"": {
      ""fr"": ""NA"",
      ""en"": ""NA""
    }";"+ Peut on envisager de changer le nom  en ""genres"" ?
 + gestion de la donnée ""vide"" : peut on ne pas renvoyer la donnée kind quand ""kind"": {
      ""fr"": ""NA"",
      ""en"": ""NA""
    }?";OUI;sans règle de gestion mais utilisé pour livraison package VOD;proposition d'envoyer l'ID genre unity au lieu du label en fr etc. + renommage kind en genre. Gestion de la donnée vide ? Obligation de saisir un genre côté UNITY - VDM/DMS excluent ils le N/A
episodeNb;OUI;Title Episodes Total Nb;serieSeasonEpisodeTotalNumber;"- Affiché sur le front : 
Catalog Type Season (X episodes)
- Utilisé pour différencier MOVIE de SEASON";"""episodeNb"": 1,";Toujours définie;"Donnée propre au format d'oeuvre ""sériel"" qui rentre dans la structure des oeuvres en général (même non sérielles) Quid nettoyage données sérielles pour les oeuvres non sérielles ?";OUI;sans règle de gestion mais utilisé pour la qualification;voir pour consolider la règle de gestion des épisodes - à discuter avec michel.
firstEpisode;NON;;;;"""firstEpisode"": 1";Toujours définie;"Donnée propre au format d'oeuvre ""sériel"" qui rentre dans la structure des oeuvres en général (même non sérielles) Quid nettoyage données sérielles pour les oeuvres non sérielles ?";à vérifier;;
lastEpisode;NON;;;;"""lastEpisode"": 1";Toujours définie;"Donnée propre au format d'oeuvre ""sériel"" qui rentre dans la structure des oeuvres en général (même non sérielles) Quid nettoyage données sérielles pour les oeuvres non sérielles ?";à vérifier;;
bu;OUI;Business Unit;businessUnit;;"""bu"": ""Germany""";Toujours définie;-;OUI;sans règle de gestion;à challenger pour comprendre la viabilité de cette donnée ?
eidr;OUI;EIDR;eidr;;"""eidr"": ""10.5240/EDBD-5352-DDF1-1E91-888E-4""";null;;OUI;sans règle de gestion - utilisé pour certains packages VOD. / à vérifier avec vdm comment ils font quand donnée absente.;non obligatoire côté UNITY
creationDate;NON;;;L'information de date de création dans la DF enregistré en DB;"""creationDate"": ""09/05/2018""";Toujours définie;-;à vérifier;;
